name,name_for_emails,site,subtypes,category,type,email_1,phone
Nel Cielo di Barga Bed & Breakfast,Nel Cielo Di Barga Bed And Breakfast,http://nelcielodibarga.com/contact-location/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,julie@nelcielodibarga.com,+39 320 828 8021
Casale Dorando,Casale Dorando,http://www.garfagnanahotel.com/default.asp?nome=Barga:%20Casale%20Dorando%20B%26B,"Bed & breakfast, Holiday home, Holiday apartment",Bed & Breakfast,Bed & breakfast,info@garfagnanahotel.com,+39 349 627 8441
Hotel & Ville La Pergola,Hotel And Ville La Pergola,https://www.hotel-lapergola.eu/,Hotel,hotels,Hotel,info@hotel-lapergola.eu,+39 379 266 7830
Hotel Alpino,Hotel Alpino,http://www.bargaholiday.com/,"Italian restaurant, Bar, Hotel",restaurants,Italian restaurant,vignola@bargaholiday.com,+39 0583 723336
Villa Moorings Hotel,Villa Moorings Hotel,https://www.villamoorings.it/,"Hotel, Bed & breakfast, Event planner, Wedding venue",hotels,Hotel,villamoorings@gmail.com,+39 0583 711538
Acchiappasogni Art Boutique Hotel,Acchiappasogni Art Boutique Hotel,http://www.oxocollection.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,acchiappasognibarga@gmail.com,+39 0583 710010
B&B IL Trebbio,B And B Il Trebbio,http://www.iltrebbio.com/,Bed & breakfast,Bed & breakfast,Bed & breakfast,bedandbreakfast@iltrebbio.com,+39 335 776 9566
Ca'Nesi,Canesi,http://www.bargilagosuviana.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@bargilagosuviana.it,+39 0534 43380
San Carlo Bed and Breakfast,San Carlo Bed And Breakfast,http://www.sancarlobedandbreakfast.com/index.php,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@sancarlobedandbreakfast.com,+39 0571 581102
B&B La Chicca,B And B La Chicca,https://www.bblachicca.eu/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@bblachicca.eu,+39 346 677 4102
Casa Appennino,Casa Appennino,http://www.casaappennino.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,pheona.kerr@talk21.com,+39 331 759 2333
"B&B ""La Pace""",B And B La Pace,http://www.la-pace.it/,Bed & breakfast,Bed and Breakfast,Bed & breakfast,info@la-pace.it,+39 338 128 0770
B&B La Ghiandaia - Berceto,B And B La Ghiandaia Berceto,https://laghiandaiaberceto.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,laghiandaiaberceto@gmail.com,+39 327 822 9751
Room&Breakfast Villa Berceto,Room And Breakfast Villa Berceto,https://roombreakfast-villa-berceto.italiadestinazioni.top/,Hotel,hotels,Hotel,hotel137223@wearehotels.top,+39 0525 186 1969
La Casa Dei Nonni,La Casa Dei Nonni,http://www.lacasadeinonniberceto.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@lacasadeinonniberceto.it,+39 333 294 2210
Relais la Leopoldina,Relais La Leopoldina,http://www.relaislaleopoldina.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@relaislaleopoldina.it,+39 0577 623447
Albergo La Foresteria Srl,Albergo La Foresteria Srl,http://www.albergolaforesteria.com/,"Hotel, Pizza restaurant, Restaurant",hotels,Hotel,info@albergolaforesteria.com,+39 0577 623319
Villa Vignacce,Villa Vignacce,http://www.villavignacce.com/,"Bed & breakfast, Holiday apartment rental, Holiday home, Holiday apartment",Bed & breakfast,Bed & breakfast,vignacce@gmail.com,+39 335 631 7015
B&B Oasi Verde,B And B Oasi Verde,http://www.oasi5terre.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@oasi5terre.it,+39 333 457 3286
Agriturismo La Corte di Candido Beverino,Agriturismo La Corte Di Candido Beverino,https://agriturismo-la-corte-di-candido-beverino.italiadestinazioni.top/,"Farmstay, Bed & breakfast",Agriturismo,Farmstay,hotel119438@wearehotels.top,+39 388 346 8443
Novanta 90,Novanta 90,http://www.novanta90.com/,"Hotel, Lodging",hotels,Hotel,info@novanta90.com,+39 331 354 0811
La Rosa dei Venti,La Rosa Dei Venti,http://www.campinglarosadeiventi.it/,"Campground, Extended stay hotel",Area di campeggio,Campground,info@campinglarosadeiventi.it,+39 0586 600725
"Villa Aia Vecchia, Bibbona",Villa Aia Vecchia Bibbona,http://www.villaaiavecchia.com/,Hotel,hotels,Hotel,info@villaaiavecchia.com,+39 370 129 4306
Locanda dell'Aioncino,Locanda Dellaioncino,http://www.locandadellaioncino.it/,"Restaurant, Bed & breakfast",restaurants,Restaurant,info@locandadellaioncino.it,+39 345 336 1470
Punti Di Vista,Punti Di Vista,https://www.puntidivistabibbona.it/,"Bed & breakfast, Espresso bar, Restaurant",Bed & Breakfast,Bed & breakfast,info@puntidivistabibbona.it,+39 340 062 8792
Relais il Biserno,Relais Il Biserno,http://www.biserno.it/,Hotel,hotels,Hotel,info@biserno.it,+39 0586 671099
La Locanda di Villa Toscana,La Locanda Di Villa Toscana,http://www.lalocandadivillatoscana.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@lalocandadivillatoscana.it,+39 379 114 3240
Residenza d'Epoca CAVALIERE,Residenza Depoca Cavaliere,https://www.cavaliere-bibbona.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@cavaliere-bibbona.com,+39 348 826 2417
La Casa nel Borgo,La Casa Nel Borgo,http://www.casanelborgo.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@casanelborgo.com,+39 334 114 5146
The Village Sorbizzi,The Village Sorbizzi,http://sorbizzi.com/,"Resort hotel, Apartment complex, Bar, Extended stay hotel, Holiday park, Lido, Restaurant, Villa",hotels,Resort hotel,info@sorbizzi.com,+39 0586 600401
Locanda Etrusca,Locanda Etrusca,http://www.locandaetrusca.it/,"Bed & breakfast, Hotel, Indoor lodging",Bed & Breakfast,Bed & breakfast,info@locandaetrusca.com,+39 348 338 3328
Podere San Filippo,Podere San Filippo,http://www.poderesanfilippo.net/,"Bed & breakfast, Lodging",Bed & Breakfast,Bed & breakfast,info@alsolutions.it,+39 339 134 4575
Farmhouse Il Palazzino,Farmhouse Il Palazzino,http://www.ilpalazzino.net/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,ilpalazzino@tiscali.it,+39 340 900 8922
Il Patino,Il Patino,http://www.ilpatinosrl.it/,"Hotel, Pub, Restaurant",hotels,Hotel,info@ilpatinosrl.it,+39 0587 755547
Hotel Sextum,Hotel Sextum,http://www.hotelsextum.it/,"Hotel, Extended stay hotel",hotels,Hotel,info@hotelsextum.it,+39 0587 489543
Hotel Residence Easy Space,Hotel Residence Easy Space,http://www.easy-space.it/,Hotel,hotels,Hotel,info@easy-space.it,+39 0587 756453
B&B ALVINO,B And B Alvino,http://www.bbalvino.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@bbalvino.it,+39 388 985 8156
Hotel Biodola,Hotel Biodola,https://www.biodola.it/it/home?utm_source=google,"Hotel, Extended stay hotel, Restaurant, Wellness hotel",hotels,Hotel,info@biodola.it,+39 0565 974812
B&B Cortevecchia,B And B Cortevecchia,http://www.bbcortevecchia.it/,"Bed & breakfast, Indoor lodging",Bed & Breakfast,Bed & breakfast,info@bbcortevecchia.it,+39 055 406714
Hotel La Locanda di Bivigliano,Hotel La Locanda Di Bivigliano,https://www.locandadibivigliano.com/,"Tuscan restaurant, Bar, Bed & breakfast, Supermarket",Ristorante toscano,Tuscan restaurant,locandadibivigliano@libero.it,+39 055 406893
Albergo La Bruna,Albergo La Bruna,http://www.hotellabruna.com/,"Hotel, Restaurant",hotels,Hotel,info@hotellabruna.com,+39 055 406893
Giotto Park Hotel,Giotto Park Hotel,http://www.villagiotto.com/,Hotel,hotels,Hotel,informazioni@villagiotto.com,+39 055 406608
Agribike Poggio Rossino,Agribike Poggio Rossino,http://www.poggiorossino.com/,"Farmstay, Bed & breakfast, Indoor lodging, Self-catering accommodation",Agriturismo,Farmstay,agribikepoggiorossino@gmail.com,+39 331 367 0161
Colle Cavalieri,Colle Cavalieri,https://www.collecavalieri.com/,"Hotel, Apartment complex, Bicycle rental service, Furnished apartment building, Holiday apartment rental, Holiday home, Outdoor swimming pool, Swimming basin, Holiday apartment",hotels,Hotel,info@collecavalieri.com,+39 391 914 2156
B&B Villa Ori,B And B Villa Ori,http://www.villaori.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@villaori.it,+39 351 554 4075
Affittacamere Villa Porto sul Magra,Affittacamere Villa Porto Sul Magra,http://www.villaportosulmagra.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@villaportosulmagra.it,
Hotel Sette Archi,Hotel Sette Archi,http://www.hotelsettearchi.com/,"Hotel, Bed & breakfast, Serviced accommodation",hotels,Hotel,info@hotelsettearchi.com,+39 0187 609017
Residence Monte Bello,Residence Monte Bello,http://www.residencemontebello.it/,"Extended stay hotel, Hotel",hotels,Extended stay hotel,info@residencemontebello.it,+39 348 396 6120
Relax nella natura,Relax Nella Natura,https://www.youtube.com/watch?v=zrLNYgFA5lk,Bed & breakfast,Bed & Breakfast,Bed & breakfast,raul@youtube.com,+39 380 703 3984
Relais Felciaino B&B,Relais Felciaino B And B,http://www.relaisfelciaino.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@relaisfelciaino.com,+39 335 676 7722
Farmhouse Il Lentisco,Farmhouse Il Lentisco,http://www.illentisco.it/,"Farmstay, Hotel, Indoor lodging",Agriturismo,Farmstay,info@illentisco.it,+39 0565 749615
Strada Giulia,Strada Giulia,http://www.stradagiuliabolgheri.it/,"Hotel, Bed & breakfast",hotels,Hotel,info@stradagiuliabolgheri.it,+39 351 831 8714
Il Chiassetto Bolgheri,Il Chiassetto Bolgheri,http://www.ilchiassettobolgheri.it/,"Bed & breakfast, Hotel",Bed & Breakfast,Bed & breakfast,info@ilchiassettobolgheri.it,+39 351 831 8714
Resort Il Casale Bolgherese,Resort Il Casale Bolgherese,http://www.casalebolgherese.com/,"Hotel, Holiday home",hotels,Hotel,info@casalebolgherese.com,+39 366 992 5052
Bolgheri Wine Suite,Bolgheri Wine Suite,https://bolgheriwinesuite.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,bolgherisuite@gmail.com,+39 331 311 1785
"Piccolo Relais Galletto di Marzo:B&B,Spa & Relax",Piccolo Relais Galletto Di Marzo:B And B Spa And Relax,http://www.piccolorelais-gallettodimarzo.it/,"Wellness hotel, Bed & breakfast, Spa",hotels,Wellness hotel,gallettodimarzo@hotmail.it,+39 349 080 3800
Hotel Sonno d'Autore,Hotel Sonno Dautore,http://www.sonnodautore.it/,"Hotel, Restaurant",hotels,Hotel,info@sonnodautore.it,+39 0187 896552
Abitatt,Abitatt,http://www.abitatt.it/,"Hotel, Extended stay hotel, Resort hotel",hotels,Hotel,maisonslv@gruppolv.it,+39 0187 167 7566
Affittacamere Come a casa,Affittacamere Come A Casa,https://comeacasatoscana.com/,"Bed & breakfast, Holiday home",Bed & Breakfast,Bed & breakfast,comeacasapizzeria@gmail.com,+39 331 569 4310
Hotel Il Pescatore,Hotel Il Pescatore,http://www.ilpescatorehotel.it/,Hotel,hotels,Hotel,info@ilpescatorehotel.it,+39 328 466 1179
La Casetta di Butia,La Casetta Di Butia,http://www.casettadibutia.it/,Hotel,hotels,Hotel,info@casettadibutia.it,+39 347 065 4641
Antica Locanda La Diligence,Antica Locanda La Diligence,http://www.anticalocandaladiligenza.it/,"Hotel, Bed & breakfast",hotels,Hotel,info@centrobebladiligenza.it,+39 0722 89124
Hotel Locanda degli Artisti,Hotel Locanda Degli Artisti,http://www.locandartisti.it/,Hotel,hotels,Hotel,info@locandartisti.it,+39 055 845 5359
Casa Palmira,Casa Palmira,http://www.casapalmira.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,prenotazioni@casapalmira.it,+39 055 796 9551
Alla Corte di Carla,Alla Corte Di Carla,http://www.allacortedicarla.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@allacortedicarla.it,+39 338 545 1898
B&B L'aia dì Trippa all'aria,B And B Laia Dì Trippa Allaria,http://www.aiatrippallaria.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@aiatrippallaria.com,+39 339 541 2716
Park Hotel Ripaverde,Park Hotel Ripaverde,http://www.ripaverde.it/,Hotel,hotels,Hotel,info@ripaverde.it,+39 055 849 6003
Agriturismo Palazzo Vecchio,Agriturismo Palazzo Vecchio,http://www.palazzovecchio.eu/,"Farmstay, Bed & breakfast, Dairy, Farm school, Organic farm, Restaurant",Agriturismo,Farmstay,info@palazzovecchio.eu,+39 333 997 8977
Villa Aurora,Villa Aurora,http://villaauroramugello.it/,"Hotel, Wedding venue",hotels,Hotel,info@villaauroramugello.it,+39 055 840 2227
Tre Fiumi,Tre Fiumi,https://www.albergoristorantetrefiumi.it/,Hotel,hotels,Hotel,info@albergotrefiumi.it,+39 055 840 3015
Monsignor della Casa Country Resort & Spa,Monsignor Della Casa Country Resort And Spa,https://www.monsignordellacasa.com/it/,"Hotel, Event planner, Massage spa, Spa, Tuscan restaurant",hotels,Hotel,booking@monsignore.com,+39 055 840821
B&B Podere Badia,B And B Podere Badia,https://poderebadia.com/,"Farmstay, Bed & breakfast, Outdoor swimming pool, Restaurant",Agriturismo,Farmstay,poderebadia@gmail.com,+39 377 189 7834
B&B Rose e Cioccolato,B And B Rose E Cioccolato,http://www.rosecioccolato.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,rosecioccolato@gmail.com,+39 333 385 0279
Albergo Bar Firenze,Albergo Bar Firenze,http://www.albergo-firenze.it/,"Bar, Hotel",bars,Bar,info@albergo-firenze.it,+39 0525 96478
Albergo Roma,Albergo Roma,http://www.nuovoalbergoroma.it/,Hotel,hotels,Hotel,info@nuovoalbergoroma.it,+39 0525 402177
Locanda Farinati - Farinati B&B Collection,Locanda Farinati Farinati B And B Collection,http://www.locandafarinati.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@locandafarinati.com,+39 378 301 2130
Affittacamere Bernasconi - La Piccionaia,Affittacamere Bernasconi La Piccionaia,https://www.piccionaia-rooms.com/,Hotel,hotels,Hotel,info@piccionaia-rooms.com,+39 338 293 5547
Il Vecchio Noce,Il Vecchio Noce,https://ilvecchionoce-brugnato.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,ilvecchionoce1@gmail.com,+39 392 836 6862
B&B Villa Beltrami,B And B Villa Beltrami,http://villabeltramibruscarolo.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info.villabeltrami@gmail.com,+31 6 22263307
Villa La Selva Wine Resort,Villa La Selva Wine Resort,http://www.villalaselva.it/,"Resort hotel, Wedding venue, Winery",hotels,Resort hotel,info@villalaselva.it,+39 055 998203
Tenuta Lupinari,Tenuta Lupinari,https://www.lupinari.com/,"Farmstay, Hotel, Organic farm, Holiday apartment, Winery",Agriturismo,Farmstay,info@lupinari.com,+39 055 991 1537
FATTORIA CASABIANCA di Liquori Aldo,Fattoria Casabianca Di Liquori Aldo,http://www.fattoria-casabianca.it/,"Farm, Extended stay hotel, Farmstay, Hotel, Indoor lodging, Poultry farm, Self-catering accommodation, Serviced accommodation, Winery",Fattoria,Farm,info@fattoria-casabianca.it,+39 055 991 1265
Casa Cornacchi,Casa Cornacchi,https://cornacchi.com/,"Resort hotel, Event planner",hotels,Resort hotel,booking@cornacchi.com,+39 055 998229
Poggio Cennina Resort,Poggio Cennina Resort,http://www.poggiocennina.it/,"Resort hotel, Cottage village",hotels,Resort hotel,info@poggiocennina.it,+39 055 991 2630
BnB Casa le Rondini Toscana,Bnb Casa Le Rondini Toscana,https://www.casalerondinitoscana.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@casalerondinitoscana.com,+31 6 51388845
Casa del Pino Bed and Breakfast,Casa Del Pino Bed And Breakfast,http://www.casadelpino.com/,Bed & breakfast,Bed and Breakfast,Bed & breakfast,feelhome@casadelpino.com,+39 0572 772584
Hotel Tarabaralla,Hotel Tarabaralla,http://www.hotelristorantetarabaralla.it/,Hotel,hotels,Hotel,info@officinaweb.it,+39 320 818 7615
casa vacanze PODERE FIORETTO,Casa Vacanze Podere Fioretto,http://www.fioretto-toscana.com/,"Guest house, Bed & breakfast",Pensione,Guest house,info@fioretto-toscana.com,
Da Poldino,Da Poldino,https://www.dapoldino.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@dapoldino.it,+39 328 482 5446
la piana B&b Hotel,La Piana B And B Hotel,http://www.beblapiana.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@beblapiana.com,
Hotel Villa Sermolli,Hotel Villa Sermolli,https://www.villa-sermolli.com/,"Hotel, Garden, Italian restaurant, Outdoor swimming pool, Wedding buffet, Wedding venue",hotels,Hotel,info@villa-sermolli.com,+39 392 694 4777
Affittacamere Martelli,Affittacamere Martelli,http://www.affittacameremartelli.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,martelli.c@outlook.com,+39 334 846 4235
Agriturismo Castello di Saltemnano,Agriturismo Castello Di Saltemnano,http://www.agriturismocastellodisaltemnano.it/,"Farmstay, Apartment complex, Event planner, Holiday home, Hotel, Indoor lodging, Non smoking holiday home, Scenic spot, Swimming basin",Agriturismo,Farmstay,info@agriturismocastellodisaltemnano.it,+39 340 799 9182
Agriturismo Percenna,Agriturismo Percenna,https://www.agriturismopercenna.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@agriturismopercenna.com,+39 0577 809000
Villa Bibbianello I Luxury Villa with a Private Pool,Villa Bibbianello I Luxury Villa With A Private Pool,http://www.villabibbianello.com/,"Villa, Extended stay hotel, Holiday apartment rental, Holiday home",Villa,Villa,info@villabibbianello.com,+39 392 029 4836
Agriturismo Fattoria Armena,Agriturismo Fattoria Armena,http://www.fattoriaarmena.com/,"Bed & breakfast, Farmstay",Bed & Breakfast,Bed & breakfast,info@fattoriaarmena.com,+39 348 319 1753
Agriturismo Pieve Sprenna,Agriturismo Pieve Sprenna,http://www.pievesprenna.com/,"Farmstay, Bed & breakfast, Electric vehicle charging station, Farm, Restaurant",Farmstay,Farmstay,info@pievesprenna.com,+39 0577 808422
Casa Vacanze Fornace - Buonconvento,Casa Vacanze Fornace Buonconvento,http://www.casavacanzefornace.it/,"Bed & breakfast, Holiday apartment",Bed & Breakfast,Bed & breakfast,info@casavacanzefornace.it,+39 335 752 3838
Casali di Bibbiano Villa I Winery I Tuscany,Casali Di Bibbiano Villa I Winery I Tuscany,https://destinationcasali.com/,"Hotel, Cooking class, Farmstay, Golf course, Resort hotel, Restaurant, Villa, Wedding venue, Wine cellar, Winery",hotels,Hotel,info@destinationcasali.com,+39 0577 809093
Hotel Ghibellino,Hotel Ghibellino,https://www.hotelghibellino.it/,Hotel,hotels,Hotel,info@hotelghibellino.com,+39 0577 809112
Villa Armena Luxury Relais,Villa Armena Luxury Relais,http://www.villaarmena.com/,"Hotel, Restaurant",hotels,Hotel,info@villaarmena.com,+39 0577 808433
B&B Castellaro,B And B Castellaro,https://bebcastellaro.wordpress.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@natividellaterra.com,+39 333 393 1748
Pietra d'Acqua glutenfree CIR050002BBI0001,Pietra Dacqua Glutenfree Cir050002Bbi0001,http://www.pietradacquabnb.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,pietradacqua@tiscali.it,+39 338 205 5308
Bed and Breakfast San Francesco,Bed And Breakfast San Francesco,http://www.bebsanfrancesco.it/,"Bed & breakfast, Lodging",Bed & Breakfast,Bed & breakfast,info@bebsanfrancesco.it,+39 320 111 7239
Casa Bracci,Casa Bracci,http://www.casabracci.com/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@casabracci.com,+39 331 357 3298
IL PIEVANO B&B,Il Pievano B And B,http://www.ilpievano.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@ilpievano.it,+39 338 385 1404
TH Tirrenia Green Park Resort,Th Tirrenia Green Park Resort,http://www.greenparkresort.com/,Hotel,hotels,Hotel,hb2s1@accor.com,+39 050 313 5711
Hotel Queen of the Sea,Hotel Queen Of The Sea,https://www.toscanasportresort.com/,Hotel,hotels,Hotel,info@toscanasportresort.com,+39 050 639 0660
Toscana Charme Resort,Toscana Charme Resort,https://www.toscanacharmeresort.com/,Hotel,hotels,Hotel,info@toscanacharmeresort.com,+39 0586 184 5830
Casa Al Mare Il Fabbricone,Casa Al Mare Il Fabbricone,http://www.ilfabbricone.it/,Resort hotel,hotels,Resort hotel,info@ilfabbricone.it,+39 050 30090
La Fattoria di Tirrenia,La Fattoria Di Tirrenia,http://www.lafattoriaditirrenia.it/,"Farmstay, Guest house, Resort hotel, Vacation home rental agency",attractions,Farmstay,info@lafattoriaditirrenia.it,+39 050 30098
Residence Villaggio Solidago,Residence Villaggio Solidago,https://www.solidagoresidence.com/,Extended stay hotel,hotels,Extended stay hotel,info@solidagoresidence.com,+39 351 422 2994
La Fabbrica,La Fabbrica,https://www.lafabbricacalci.it/,"Bed & breakfast, Beer garden, Brewpub, Group accommodation, Hotel, Indoor lodging",Bed & Breakfast,Bed & breakfast,info@lafabbricacalci.it,+39 339 311 8770
Ristoro San Bernardo - Agrituristica Del Lungomonte Pisano,Ristoro San Bernardo Agrituristica Del Lungomonte Pisano,http://www.sanbernardodicalci.com/,"Restaurant, Bed & breakfast, Horseback riding service",restaurants,Restaurant,agrilungomonte@gmail.com,+39 050 937630
Hotel Boccaccio,Hotel Boccaccio,https://www.hotelboccacciopontedera.com/%3Futm_source%3DGB%26utm_medium%3Dorganic,Hotel,hotels,Hotel,info@hotelboccacciopontedera.com,+39 0587 297111
Montebelli Agriturismo & Country Hotel,Montebelli Agriturismo And Country Hotel,http://www.montebelli.com/,"Hotel, Farmstay",hotels,Hotel,info@montebelli.com,+39 0566 887100
Hotel La Selva,Hotel La Selva,http://www.laselvahotel.com/,"Hotel, Restaurant",hotels,Hotel,info@laselvahotel.com,+39 055 887 6824
Hotel Valmarina,Hotel Valmarina,http://www.hotelvalmarina.it/,Hotel,hotels,Hotel,info@hotelvalmarina.it,+39 055 882 5336
Hotel Delta Florence,Hotel Delta Florence,http://www.deltaflorence.com/italiano/,Hotel,hotels,Hotel,info@deltaflorence.com,+39 055 887 6302
POGGIO ALLA PIEVE Relais - Dimora storica,Poggio Alla Pieve Relais Dimora Storica,http://www.poggioallapieverelais.com/,"Hotel, Event venue, Farmstay, Restaurant, Wedding venue",hotels,Hotel,elena@poggioallapieve.com,+39 337 691 255
Hotel La Villetta,Hotel La Villetta,http://www.hotellavilletta.it/,Hotel,hotels,Hotel,info@hotellavilletta.it,+39 055 882 4728
Hotel First,Hotel First,http://www.hotelfirst.it/,Hotel,hotels,Hotel,info@hotelfirst.it,+39 055 88724
L'AlberoCasa,Lalberocasa,http://www.lalberocasa.com/,"Bed & breakfast, Serviced apartment",Bed & Breakfast,Bed & breakfast,info@lalberocasa.com,+39 391 464 0990
B&B Impronte nel bosco,B And B Impronte Nel Bosco,https://www.improntenelbosco.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@improntenelbosco.it,+39 346 479 7374
Fattoria del Cerretino,Fattoria Del Cerretino,http://www.cerretino.it/,"Farmstay, Bed & breakfast",Agriturismo,Farmstay,info@cerretino.it,+39 349 463 6771
Locanda al Colle,Locanda Al Colle,http://www.locandaalcolle.com/,"Bed & breakfast, Hotel",Bed & breakfast,Bed & breakfast,info@locandaalcolle.it,+39 0584 915195
Eros,Eros,http://www.hotel-eros.net/,Hotel,hotels,Hotel,info@hotel-eros.net,+39 0584 650173
Casa del Sole | Bed & Breakfast,Casa Del Sole | Bed And Breakfast,http://www.casadelsolecamaiore.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@casadelsolecamaiore.it,+39 333 667 8389
Villa Lombardi,Villa Lombardi,http://www.villalombardi.it/,"Bed & breakfast, Hotel, Lodging",Bed & Breakfast,Bed & breakfast,info@villalombardi.it,+39 339 644 1842
Podere il Cavallo Blu,Podere Il Cavallo Blu,http://www.podereilcavalloblu.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,podereilcavalloblu@gmail.com,+39 353 459 6730
Sun and sea,Sun And Sea,https://www.hotelsolemare.net/,Hotel,hotels,Hotel,info@hotelsolemare.info,+39 0584 617339
Giulia Hotel,Giulia Hotel,http://www.giuliahotel.it/,Hotel,hotels,Hotel,info@giuliahotel.it,+39 0584 617518
Casa Verdina,Casa Verdina,http://www.laverdina.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,lapi7@libero.it,+39 328 445 0801
locanda le monache,Locanda Le Monache,http://www.lemonache.com/,Hotel,hotels,Hotel,info@lemonache.com,+39 0584 989258
Badia Giulia,Badia Giulia,http://www.badiagiulia.eu/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,info@badiagiulia.com,+39 328 738 4960
Hotel Sirio,Hotel Sirio,http://www.hotelsirio.com/,Hotel,hotels,Hotel,info@hotelsirio.com,+39 0584 618047
Hotel Mariotti,Hotel Mariotti,https://hotelmariotti.it/,"Hotel, Banquet hall, Convention center, Extended stay hotel, Garden, Indoor lodging, Restaurant",hotels,Hotel,info@hotelmariotti.com,+39 0584 617170
Hotel Bixio,Hotel Bixio,http://www.hotelbixio.it/,Hotel,hotels,Hotel,info@hotelbixio.it,+39 0584 610558
Hotel Ristorante La Terrazza,Hotel Ristorante La Terrazza,http://www.hotelristorantelaterrazza.it/,"Hotel, Bar, Italian restaurant",hotels,Hotel,info@beauty.com,+39 0584 617393
Dei Tigli,Dei Tigli,https://www.hoteldeitigli.it/,"Hotel, Bed & breakfast",hotels,Hotel,info@hoteldeitigli.it,+39 0584 619616
Hotel Club i Pini,Hotel Club I Pini,http://www.clubipini.com/,Hotel,hotels,Hotel,info@clubipini.com,+39 0584 66103
Ostello del Pellegrino di Camaiore,Ostello Del Pellegrino Di Camaiore,http://www.ostellodicamaiore.it/,"Hotel, Hostel",hotels,Hotel,info@ostellodicamaiore.it,+39 333 267 2436
La Stagione dell'Arte,La Stagione Dellarte,http://www.lastagionedellarte.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,la.stagione.arte@gmail.com,+39 392 365 7338
Villa La Bianca,Villa La Bianca,http://www.villalabianca.com/,"Bed & breakfast, Holiday apartment",Bed & Breakfast,Bed & breakfast,relais@villalabianca.com,+39 0584 984657
Hotel Fortunella,Hotel Fortunella,http://www.hotelfortunella.it/,"Hotel, Bar, Restaurant",hotels,Hotel,info@hotelfortunella.it,+39 0584 617605
Hotel Maita,Hotel Maita,http://www.hotelmaita.it/,"Hotel, Bed & breakfast, Guest house",hotels,Hotel,info@hotelmaita.it,+39 0584 618255
Hotel Biagiotti,Hotel Biagiotti,http://www.hotelbiagiotti.it/,Hotel,hotels,Hotel,info@hotelbiagiotti.it,+39 0584 617087
B&B Bellaisa,B And B Bellaisa,https://bellaisabb.it/,"Bed & breakfast, Holiday home, Serviced accommodation",Bed & Breakfast,Bed & breakfast,martina@bellaisabb.it,+39 329 200 3888
Hotel Bacco,Hotel Bacco,http://bacco-hotel.com/,"Hotel, Lodging",hotels,Hotel,info@bacco-hotel.de,+39 0584 619540
Hotel Verbena,Hotel Verbena,http://www.hotelverbena.it/,Hotel,hotels,Hotel,info@hotelverbena.it,+39 0584 617609
Hotel Prestige,Hotel Prestige,http://www.hotelprestige.com/,Hotel,hotels,Hotel,info@hotelprestige.com,+39 0584 617051
Frantoio Del Moscatello,Frantoio Del Moscatello,https://www.frantoiodelmoscatello.it/,Bed & breakfast,Bed & Breakfast,Bed & breakfast,camaiore@frantoiodelmoscatello.it,+39 333 582 7315
